author,content,timestamp,message_id
notonft,"All Turtles NFTs have been revealed @everyone! If you had some unrevealed Turtles, check them out in your wallet or swap for one you like better in the market. Note: Magic Eden may take more time to update data. Tensor has all revealed Turtles displaying now: https://www.tensor.trade/trade/turtlesnft",2025-01-07T18:57:07.007000+00:00,1326263365038899263
notonft,,2025-01-01T00:41:00.138000+00:00,1323813191603585105
notonft,"**Happy 2025 @everyone ! We’re heading into the new year with a number of important announcements.**

It’s been a wild couple of years in NFTs. As a reminder, since minting to a larger collection Turtles:  
- Deployed a unique NFT staking platform which provided real value back to owners
- Deployed a fractionalization platform for difficult to find assets and supported some of the OG Solana projects when everyone said the network was dead
- Created a custom merch line with smart contract capable of accepting SPL tokens, which were given freely to NFT stakers
- Launched Ordinals collectibles with sub-1M inscription numbers
- Countless other small, daily releases to try and push the Turtles NFT narrative forward

We will again have development resources in February 2025. The fractionalization platform IP is now owned by a firm adequately funded and staffed to address the legal and regulatory hurdles of operating it.

In 2025 Turtles NFT will return to simple community driven participation and support of the Solana ecosystem. I would have done a lot of things differently, if I could go back. But since I can’t, I am reaffirming commitment to continuing the Turtles IP no matter where we are in the cycle, which chain is hot, or what the current meta is.

All unrevealed Turtles will be revealed automatically in the coming weeks, and we will begin a community push once more focused on lore, memes, history, and our support of Solana when nobody else wanted to be here.

**Deals update:**

This information is not meant for citizens or tax residents of the United States.

A low tech framework provided by the IP owners will safely close out deal tokens. I believe everyone will be happy with the end, even though it is taking a long time in web3 terms. Turtles Discord cannot provide information beyond directing you to the appropriate areas. Please do not post Personally Identifiable Information in this Discord or in DMs to community managers.

The next chapters starts now. Deal token holders must begin by confirming wallets here: https://forms.gle/qCb8EqXq3hwrY7Md7",2025-01-01T00:39:50.821000+00:00,1323812900867018753
notonft,"GM @everyone. It’s been a while since I gave you a project update. NFTs are down bad, and the feeling is it’s never coming back. As always in web3, the most entertaining outcome is the most likely...

**Project/Community**
Slow and steady wins the race…

Since the meta shifted to meme coins, NFTs and Discord communities have been dead. But if you haven’t checked into Alpha Hut in a while you should, because I see 3-5 quality calls each week. There are still opportunities, and the OGs that have been chilling here for 3 years have experience edge.

**Deals**
We have devised a way to manually address deal tokens with no smart contract risk, and will be implementing that system.  I expect things to move along before the end of the year. In case it was not clear before, we will not have access to new deals through holding NFTs. At this time please do not move tokens from wallets or OTC trade unless absolutely necessary, as this will create complication later.

**Wen Turtles?**
The team is still here, and if NFTs ever come back Turtles will mean something. There are no staking or other web3 development plans as of today. A while ago I said it was time to move to web2 for a wider audience, and I'm still sticking to that. Right now we're just vibing, looking for opportunities, and watching for whatever meta comes next.

**As always, Turtles are fck.**",2024-08-13T12:40:19.760000+00:00,1272897527129313335
notonft,"Snapshot for $BANX has been completed @everyone and your Turtles will show points yield at https://banx.gg/leaderboard under the Banx Rewards tab. We are working behind the scenes for upcoming major token launches to make sure Turtles are included, especially if we or I invested in those companies last year.",2024-03-24T08:20:46.151000+00:00,1221373129763323934
notonft,"$BANX is about to RUN @everyone and Turtles holders are included in the initial allocation! Any holder with Turtles in their wallet will receive an allocation per NFT from the initial amount aidropped to the real ones on Solana.

**Snapshot will be taken soon, so you might want to stock up on cheap Turtles and take advantage of potentially free NFTs.**

**READ MORE:**
https://x.com/banx_gg/status/1770816841666945364?s=20",2024-03-22T08:36:35.951000+00:00,1220652337782198322
notonft,"As a follow up @everyone , Kamino will be launching $KMNO and airdropping to eligible wallets next month. It's the next big token drop, and Turtles can earn free tokens with $VC.

Kamino will snapshot wallets with Kamino points on March 30. **You can now earn yield + Kamino points by staking your $VC tokens, so if they are just sitting there, its a good idea to stake.** You may unstake at any time.


**STEPS:**

1️⃣  Visit the Kamino $VC staking page and connect your wallet https://app.kamino.finance/liquidity/4gghUKdA5dqY6YL6NtrxshGmvnR4a4ro6eTXMnxZc2si
2️⃣  Uncheck the Single Asset Deposit box or switch the token to $VC - adding both assets will earn more Kamino points
3️⃣  Select token quantities and deposit. Kamino will determine the ratio for you, currently it is 20% Sol to 80% VC
4️⃣  Your points counter will begin to increase after 10-20 minutes, and you will begin earning Sol and VC rewards for staking
5️⃣  Wait for the airdrop announcement from Kamino. You don't have to claim daily rewards or do anything extra to accumulate points",2024-03-16T20:58:01.078000+00:00,1218664594734846053
notonft,"$VC stuck in the staking contract has been airdropped to all wallets that were staking @everyone. Your wallet received the amount of $VC that was stuck in the contract at the time of contract close. In total, 1,821,214 tokens were airdropped.

**In addition, we are now offering a boosted APY of over 100% on Kamino.** Earn $KMNO points and stake your $VC in a secure environment. $VC and $SOL fee rewards for staking will be automatically claimable from Kamino. **Use the link below or search for VC in the Liquidity section of Kamino under All Vaults.**

🪙  Vault link: https://app.kamino.finance/liquidity/4gghUKdA5dqY6YL6NtrxshGmvnR4a4ro6eTXMnxZc2si",2024-03-15T19:50:56.075000+00:00,1218285324782796852
notonft,"We have now airdropped 1,321 Turtles that were stuck in the staking contract to holders @everyone. The practical effect is that holders may see duplicate Turtles NFTs. Only airdropped Turtles will be usable on marketplaces, as the other NFTs are frozen. If you are missing a Turtle that is stuck in the staking contract, please let us know by opening a ticket.",2024-02-21T02:27:24.387000+00:00,1209687791420833862
notonft,We will have updates for you on Monday @everyone thank you for your patience… 🐢 🐢 🐢,2024-02-18T02:24:19.398000+00:00,1208599851923931186
notonft,"Apologies @everyone, we are working in the background and have a solid plan to bring value to NFT holders and the project in general. Sit tight, the remaining staked NFTs are stuck there for now while we sort it out.

As of today Kano is stepping down  from the project. He is still a holder and loves Turtles, and we appreciate his dedication over the last 2 years.

I will update you soon. **We will not be asking you to stake, transfer, or perform activities other than keeping your NFTs in your wallet at this time.** $VC pools have been removed for the  most part, and trading is still happening. Any trading activities are up to token holders, so please be cautious while there is no LP.",2024-02-16T14:37:15.115000+00:00,1208059523718320240
0xkano,@everyone just shut down the website while we fix the issue 👍,2024-02-08T14:58:13.301000+00:00,1205165698008092692
notonft,Hi @everyone we removed VC liquidity pool for now to make sure there is not an exploit. Let the team investigate and avoid trading. We will reconfigure the pools once we confirm.,2024-02-08T02:24:38.966000+00:00,1204976055342071859
notonft,"The first game from Octo Gaming featuring Turtles NFT is going live @everyone! 

**Round 1 has a 40,000 $OTK prize pool, worth $10,000.**

Here's how Turtles can participate:

• Get the Octo Gaming app:
🔹 http://tinyurl.com/Octo8app-iOS
🔸 http://tinyurl.com/Octo8app-android
• Equip your FREE community avatar in the Octo store, **available in the next 24 hours**
• Enter the Octo Soccer leaderboard on January 11 @ 5:00 PM CET

More information here: https://twitter.com/Octo8gaming/status/1745105732498760042",2024-01-10T16:24:08.087000+00:00,1194678070645375128
